Name,Rating,Number of Reviews
Amazon CloudWatch,4.5,563.0
AppDynamics,4.5,984.0
Azure Monitor,4.5,333.0
Chronosphere Platform,4.7,70.0
Coralogix,4.55,336.0
DX Application Performance Management,4.7,60.0
Datadog,4.4,1324.0
Dynatrace,4.55,2869.0
Dynatrace AppMon (Legacy),4.4,91.0
Elastic Observability,4.4,247.0
Google Cloud Console,4.4,90.0
Grafana Cloud,4.5,115.0
Grafana Enterprise Stack,4.4,73.0
IBM Instana,4.4,389.0
IBM Instana Observability,4.3,298.0
LM Envision,4.4,174.0
LogRocket,4.6,1872.0
ManageEngine Applications Manager,4.65,518.0
ManageEngine OpManager,4.6,127.0
ManageEngine Site24x7,4.6,84.0
New Relic,4.45,1895.0
Progress WhatsUp Gold,4.4,346.0
Rakuten SixthSense Observability,4.6,44.0
Site24x7,4.6,300.0
SolarWinds Observability,4.5,95.0
Splunk Observability Cloud,4.3,176.0
Sumo Logic SaaS Log Analytics Platform,4.2,66.0
